NDOC,FECHA,Tipo de Producto o Servicio,CPROD,Producto/Servicio,Variante,Tipo de Prod.,Estacion
3384,26/02/2019,Helados,140,Cremoso,Oreo,Comestible,Verano
3384,26/02/2019,Lavado Express,1544748766540,Interior y exterior,Vehículos pequeños,Servicio de Lavado,Verano
3385,26/02/2019,Helados,140,Cremoso,Oreo,Comestible,Verano
3386,26/02/2019,Abarrotes,83,Criollitas,100g,Comestible,Verano
3386,26/02/2019,Lavado Express,1544795009149,Lavado,y aspirado,Servicio de Lavado,Verano
3386,26/02/2019,Accesorio auto,1545834855526,Areon,Fresco Manzana canela,Accesorio Auto,Verano
3386,26/02/2019,Bebidas,106,Vital,Natural sin gas 600ml,Bebestible,Verano
3387,26/02/2019,Lavado Express,1544800400730,Fichas Aspirado,Autoservicio,Servicio de Lavado,Verano
3388,26/02/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3389,26/02/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3389,26/02/2019,Accesorio auto,1545835679641,Areon,KEN Vainilla,Accesorio Auto,Verano
3389,26/02/2019,Abarrotes,115,Lays,Mediterraneos Orégano 38g,Comestible,Verano
3389,26/02/2019,Bebidas,102,Aquarius,Manzana 500ml,Bebestible,Verano
3390,26/02/2019,Lavado Express,148,Express,Full,Servicio de Lavado,Verano
3391,26/02/2019,Lavado Express,148,Express,Full,Servicio de Lavado,Verano
3392,26/02/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3393,26/02/2019,Abarrotes,71,Protein snack,Rich caramel,Comestible,Verano
3394,26/02/2019,Lavado Express,1544748998523,Lavado interior y exterior,Vehículo sobre medida,Servicio de Lavado,Verano
3395,26/02/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3396,26/02/2019,Lavado Express,1544795009149,Lavado,y aspirado,Servicio de Lavado,Verano
3396,26/02/2019,Café,40,Marley Coffe,Mediano,Bebestible,Verano
3396,26/02/2019,Accesorio auto,1545834294478,Areon,Fresco Vainilla,Accesorio Auto,Verano
3397,26/02/2019,Lavado Express,149,Express,Sobre medida (Exterior),Servicio de Lavado,Verano
3398,26/02/2019,Accesorio auto,1545410807129,Silicona Plus,Aroma Manzana 400ml,Accesorio Auto,Verano
3398,26/02/2019,Lavado Express,148,Express,Full,Servicio de Lavado,Verano
3399,26/02/2019,Lavado Express,1544795009149,Lavado,y aspirado,Servicio de Lavado,Verano
3400,26/02/2019,Abarrotes,117,Cheetos,Sabor queso 64g,Comestible,Verano
3401,26/02/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3402,26/02/2019,Lavado Express,1544748946076,Lavado interior y exterior,Vehículo mediano,Servicio de Lavado,Verano
3403,26/02/2019,Lavado Express,147,Express,Medio con Lava chasis,Servicio de Lavado,Verano
3403,26/02/2019,Helados,139,Cremoso,Chocolate Almendra,Comestible,Verano
3404,26/02/2019,Helados,140,Cremoso,Oreo,Comestible,Verano
3405,26/02/2019,Lavado Express,149,Express,Sobre medida (Exterior),Servicio de Lavado,Verano
3406,27/02/2019,Café,40,Marley Coffe,Mediano,Bebestible,Verano
3407,27/02/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3408,27/02/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3409,27/02/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3410,27/02/2019,Lavado Express,148,Express,Full,Servicio de Lavado,Verano
3411,27/02/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3412,27/02/2019,Lavado Express,1544748946076,Lavado interior y exterior,Vehículo mediano,Servicio de Lavado,Verano
3413,27/02/2019,Lavado Express,1544748946076,Lavado interior y exterior,Vehículo mediano,Servicio de Lavado,Verano
3413,27/02/2019,Café,39,Marley Coffe,Espresso,Bebestible,Verano
3414,27/02/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3415,27/02/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3416,27/02/2019,Lavado Express,147,Express,Medio con Lava chasis,Servicio de Lavado,Verano
3417,27/02/2019,Lavado Express,147,Express,Medio con Lava chasis,Servicio de Lavado,Verano
3418,27/02/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3419,27/02/2019,Café,40,Marley Coffe,Mediano,Bebestible,Verano
3419,27/02/2019,Accesorio auto,1545408573039,Vision Clara,Red summer 25ml,Accesorio Auto,Verano
3420,27/02/2019,Bebidas,94,Coca-cola,Lata 220ml,Bebestible,Verano
3421,27/02/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3421,27/02/2019,Accesorio auto,1549038072926,Slim,Ocean Breeze,Accesorio Auto,Verano
3422,27/02/2019,Bebidas,100,Monster,Ultra Sunrise,Bebestible,Verano
3423,27/02/2019,Abarrotes,1548881152465,Toddy,Clasica,Comestible,Verano
3424,27/02/2019,Abarrotes,1548881152465,Toddy,Clasica,Comestible,Verano
3425,27/02/2019,Lavado Express,147,Express,Medio con Lava chasis,Servicio de Lavado,Verano
3426,27/02/2019,Abarrotes,1548881152465,Toddy,Clasica,Comestible,Verano
3427,27/02/2019,Lavado Express,1544748946076,Lavado interior y exterior,Vehículo mediano,Servicio de Lavado,Verano
3428,27/02/2019,Helados,140,Cremoso,Oreo,Comestible,Verano
3428,27/02/2019,Lavado Express,1544748946076,Lavado interior y exterior,Vehículo mediano,Servicio de Lavado,Verano
3429,27/02/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3430,27/02/2019,Lavado Interior,1547815815450,Lavado y aspirado,Vehículos sobre medida,Servicio de Lavado,Verano
3430,27/02/2019,Café,40,Marley Coffe,Mediano,Bebestible,Verano
3431,27/02/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3432,27/02/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3432,27/02/2019,Abarrotes,115,Lays,Mediterraneos Orégano 38g,Comestible,Verano
3433,27/02/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3434,27/02/2019,Bebidas,94,Coca-cola,Lata 220ml,Bebestible,Verano
3434,27/02/2019,Accesorio auto,1550518773853,Guante,Microfibra,Accesorio Auto,Verano
3435,27/02/2019,Lavado Express,149,Express,Sobre medida (Exterior),Servicio de Lavado,Verano
3436,27/02/2019,Lavado Express,1544748946076,Lavado interior y exterior,Vehículo mediano,Servicio de Lavado,Verano
3436,27/02/2019,Abarrotes,1544982585343,Ramitas,Sabor queso 42g,Comestible,Verano
3436,27/02/2019,Abarrotes,53,Barra chocolate,Sahne-nuss 14g,Comestible,Verano
3436,27/02/2019,Bebidas,94,Coca-cola,Lata 220ml,Bebestible,Verano
3437,27/02/2019,Lavado Express,1544748766540,Interior y exterior,Vehículos pequeños,Servicio de Lavado,Verano
3438,27/02/2019,Lavado Express,1544748998523,Lavado interior y exterior,Vehículo sobre medida,Servicio de Lavado,Verano
3438,27/02/2019,Bebidas,101,Monster,Ultra,Bebestible,Verano
3438,27/02/2019,Café,41,Marley Coffe,Grande,Bebestible,Verano
3439,27/02/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3439,27/02/2019,Helados,1547221389283,Frutal,Maracuya,Comestible,Verano
3440,27/02/2019,Lavado Express,149,Express,Sobre medida (Exterior),Servicio de Lavado,Verano
3440,27/02/2019,Bebidas,106,Vital,Natural sin gas 600ml,Bebestible,Verano
3441,27/02/2019,Abarrotes,85,Barra chocolate,Prestigio 35g,Comestible,Verano
3442,27/02/2019,Accesorio auto,1545408177742,Vision Clara,Aroma manzana 250ml,Accesorio Auto,Verano
3442,27/02/2019,Accesorio auto,1549046705797,Slim,Vainilla,Accesorio Auto,Verano
3443,27/02/2019,Lavado Express,147,Express,Medio con Lava chasis,Servicio de Lavado,Verano
3443,27/02/2019,Bebidas,95,Coca-cola zero,Lata 220ml,Bebestible,Verano
3444,27/02/2019,Lavado Express,148,Express,Full,Servicio de Lavado,Verano
3445,27/02/2019,Accesorio auto,1549046705797,Slim,Vainilla,Accesorio Auto,Verano
3445,27/02/2019,Accesorio auto,1550518773853,Guante,Microfibra,Accesorio Auto,Verano
3445,27/02/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3446,27/02/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3447,27/02/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3448,27/02/2019,Lavado Express,1544748998523,Lavado interior y exterior,Vehículo sobre medida,Servicio de Lavado,Verano
3449,27/02/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3449,27/02/2019,Helados,139,Cremoso,Chocolate Almendra,Comestible,Verano
3450,27/02/2019,Lavado Express,149,Express,Sobre medida (Exterior),Servicio de Lavado,Verano
3451,27/02/2019,Bebidas,95,Coca-cola zero,Lata 220ml,Bebestible,Verano
3451,27/02/2019,Lavado Express,148,Express,Full,Servicio de Lavado,Verano
3451,27/02/2019,Abarrotes,1548881152465,Toddy,Clasica,Comestible,Verano
3451,27/02/2019,Abarrotes,56,Barra chocolate,Trencito 24g,Comestible,Verano
3451,27/02/2019,Abarrotes,124,Selz,Sabor Jamón 35g,Comestible,Verano
3451,27/02/2019,Abarrotes,1549901965987,OBA OBA,Malvadisco,Comestible,Verano
3451,27/02/2019,Abarrotes,57,Super 8,29g,Comestible,Verano
3451,27/02/2019,Abarrotes,88,Chicle Bigtime,Menta,Comestible,Verano
3452,27/02/2019,Lavado Express,147,Express,Medio con Lava chasis,Servicio de Lavado,Verano
3453,27/02/2019,Lavado Express,148,Express,Full,Servicio de Lavado,Verano
3453,27/02/2019,Bebidas,101,Monster,Ultra,Bebestible,Verano
3453,27/02/2019,Abarrotes,117,Cheetos,Sabor queso 64g,Comestible,Verano
3454,27/02/2019,Lavado Express,1544795009149,Lavado,y aspirado,Servicio de Lavado,Verano
3455,27/02/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3456,27/02/2019,Abarrotes,1544982585343,Ramitas,Sabor queso 42g,Comestible,Verano
3456,27/02/2019,Lavado Express,1544748946076,Lavado interior y exterior,Vehículo mediano,Servicio de Lavado,Verano
3457,27/02/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3458,27/02/2019,Abarrotes,2,Capri,Sabor a Maracuya 30g,Comestible,Verano
3458,27/02/2019,Abarrotes,73,Protein snack,Chocolate&crispis,Comestible,Verano
3459,28/02/2019,Lavado Express,1544795009149,Lavado,y aspirado,Servicio de Lavado,Verano
3459,28/02/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3460,28/02/2019,Café,40,Marley Coffe,Mediano,Bebestible,Verano
3460,28/02/2019,Bebidas,109,Vitamin Water,Power-C,Bebestible,Verano
3460,28/02/2019,Abarrotes,79,Barra Quaker,Frutilla 20g,Comestible,Verano
3460,28/02/2019,Lavado Express,1544748766540,Interior y exterior,Vehículos pequeños,Servicio de Lavado,Verano
3461,28/02/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3462,28/02/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3462,28/02/2019,Bebidas,1549647348812,Andina del Valle,Naranja,Bebestible,Verano
3463,28/02/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3464,28/02/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3465,28/02/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3466,28/02/2019,Lavado Express,1544748766540,Interior y exterior,Vehículos pequeños,Servicio de Lavado,Verano
3467,28/02/2019,Abarrotes,85,Barra chocolate,Prestigio 35g,Comestible,Verano
3468,28/02/2019,Lavado Express,150,Express,Sobre medida,Servicio de Lavado,Verano
3469,28/02/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3469,28/02/2019,Bebidas,103,Aquarius,Pera 500ml,Bebestible,Verano
3470,28/02/2019,Lavado Express,149,Express,Sobre medida (Exterior),Servicio de Lavado,Verano
3471,28/02/2019,Abarrotes,60,Toddy block,101g,Comestible,Verano
3472,28/02/2019,Lavado Express,149,Express,Sobre medida (Exterior),Servicio de Lavado,Verano
3473,28/02/2019,Lavado Express,1544795009149,Lavado,y aspirado,Servicio de Lavado,Verano
3474,28/02/2019,Accesorio auto,1549046845878,Slim,Red Fruits,Accesorio Auto,Verano
3474,28/02/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3475,28/02/2019,Helados,139,Cremoso,Chocolate Almendra,Comestible,Verano
3476,28/02/2019,Lavado Express,147,Express,Medio con Lava chasis,Servicio de Lavado,Verano
3477,28/02/2019,Lavado Express,147,Express,Medio con Lava chasis,Servicio de Lavado,Verano
3478,28/02/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3478,28/02/2019,Abarrotes,85,Barra chocolate,Prestigio 35g,Comestible,Verano
3479,28/02/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3480,28/02/2019,Lavado Express,1544748766540,Interior y exterior,Vehículos pequeños,Servicio de Lavado,Verano
3481,28/02/2019,Lavado Interior,1547815815450,Lavado y aspirado,Vehículos sobre medida,Servicio de Lavado,Verano
3482,28/02/2019,Accesorio auto,24,Aromatizante Little Trees,Pino Peachy Peach,Accesorio Auto,Verano
3483,28/02/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3484,28/02/2019,Bebidas,96,Fanta,Lata 220ml,Bebestible,Verano
3484,28/02/2019,Abarrotes,1549901965987,OBA OBA,Malvadisco,Comestible,Verano
3484,28/02/2019,Bebidas,107,Vital,Gasificada 600ml,Bebestible,Verano
3484,28/02/2019,Abarrotes,123,Selz,Clasico 35g,Comestible,Verano
3484,28/02/2019,Abarrotes,85,Barra chocolate,Prestigio 35g,Comestible,Verano
3484,28/02/2019,Bebidas,106,Vital,Natural sin gas 600ml,Bebestible,Verano
3485,28/02/2019,Lavado Express,147,Express,Medio con Lava chasis,Servicio de Lavado,Verano
3485,28/02/2019,Café,41,Marley Coffe,Grande,Bebestible,Verano
3486,28/02/2019,Lavado Express,147,Express,Medio con Lava chasis,Servicio de Lavado,Verano
3487,28/02/2019,Abarrotes,85,Barra chocolate,Prestigio 35g,Comestible,Verano
3488,28/02/2019,Lavado Express,147,Express,Medio con Lava chasis,Servicio de Lavado,Verano
3489,28/02/2019,Abarrotes,62,Hobby,40g,Comestible,Verano
3489,28/02/2019,Abarrotes,85,Barra chocolate,Prestigio 35g,Comestible,Verano
3490,28/02/2019,Lavado Express,148,Express,Full,Servicio de Lavado,Verano
3491,28/02/2019,Lavado Express,1544748766540,Interior y exterior,Vehículos pequeños,Servicio de Lavado,Verano
3492,28/02/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3493,28/02/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3494,28/02/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3495,28/02/2019,Lavado Express,147,Express,Medio con Lava chasis,Servicio de Lavado,Verano
3496,28/02/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3497,28/02/2019,Lavado Express,1544795009149,Lavado,y aspirado,Servicio de Lavado,Verano
3498,28/02/2019,Café,40,Marley Coffe,Mediano,Bebestible,Verano
3499,28/02/2019,Café,40,Marley Coffe,Mediano,Bebestible,Verano
3500,28/02/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3501,28/02/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3502,28/02/2019,Accesorio auto,45,Sonax,Protector Total mate 300ml,Accesorio Auto,Verano
3502,28/02/2019,Accesorio auto,46,Sonax,Espuma limpia tapiz 400ml,Accesorio Auto,Verano
3502,28/02/2019,Café,41,Marley Coffe,Grande,Bebestible,Verano
3503,28/02/2019,Lavado Express,147,Express,Medio con Lava chasis,Servicio de Lavado,Verano
3504,28/02/2019,Lavado Express,1544795009149,Lavado,y aspirado,Servicio de Lavado,Verano
3504,28/02/2019,Café,40,Marley Coffe,Mediano,Bebestible,Verano
3504,28/02/2019,Abarrotes,55,Barra chocolate,Trencito 14g,Comestible,Verano
3504,28/02/2019,Accesorio auto,1545411641084,Renovador de neumatico,Spray 300ml,Accesorio Auto,Verano
3505,28/02/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3506,28/02/2019,Lavado Express,147,Express,Medio con Lava chasis,Servicio de Lavado,Verano
3507,28/02/2019,Abarrotes,124,Selz,Sabor Jamón 35g,Comestible,Verano
3507,28/02/2019,Abarrotes,130,Mini,Toddy,Comestible,Verano
3508,01/03/2019,Lavado Interior,1547815815450,Lavado y aspirado,Vehículos sobre medida,Servicio de Lavado,Verano
3509,01/03/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3509,01/03/2019,Abarrotes,88,Chicle Bigtime,Menta,Comestible,Verano
3509,01/03/2019,Accesorio auto,1549046705797,Slim,Vainilla,Accesorio Auto,Verano
3510,01/03/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3511,01/03/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3512,01/03/2019,Café,40,Marley Coffe,Mediano,Bebestible,Verano
3513,01/03/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3514,01/03/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3515,01/03/2019,Café,39,Marley Coffe,Espresso,Bebestible,Verano
3516,01/03/2019,Lavado Express,147,Express,Medio con Lava chasis,Servicio de Lavado,Verano
3517,01/03/2019,Café,40,Marley Coffe,Mediano,Bebestible,Verano
3518,01/03/2019,Lavado Express,1544795009149,Lavado,y aspirado,Servicio de Lavado,Verano
3519,01/03/2019,Bebidas,1551116246296,Mas,Manzana,Bebestible,Verano
3519,01/03/2019,Abarrotes,1544982585343,Ramitas,Sabor queso 42g,Comestible,Verano
3519,01/03/2019,Café,40,Marley Coffe,Mediano,Bebestible,Verano
3520,01/03/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3521,01/03/2019,Lavado Express,149,Express,Sobre medida (Exterior),Servicio de Lavado,Verano
3521,01/03/2019,Abarrotes,120,Doritos,Sabor Queso 45g,Comestible,Verano
3522,01/03/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3523,01/03/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3524,01/03/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3525,01/03/2019,Lavado Express,1544795009149,Lavado,y aspirado,Servicio de Lavado,Verano
3526,01/03/2019,Lavado Express,147,Express,Medio con Lava chasis,Servicio de Lavado,Verano
3526,01/03/2019,Café,40,Marley Coffe,Mediano,Bebestible,Verano
3527,01/03/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3528,01/03/2019,Lavado Express,149,Express,Sobre medida (Exterior),Servicio de Lavado,Verano
3529,01/03/2019,Café,40,Marley Coffe,Mediano,Bebestible,Verano
3529,01/03/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3529,01/03/2019,Accesorio auto,24,Aromatizante Little Trees,Pino Peachy Peach,Accesorio Auto,Verano
3530,01/03/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3531,01/03/2019,Lavado Express,149,Express,Sobre medida (Exterior),Servicio de Lavado,Verano
3532,01/03/2019,Café,37,One Drop,Banana Split 325ml,Bebestible,Verano
3533,01/03/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3534,01/03/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3535,01/03/2019,Lavado Express,149,Express,Sobre medida (Exterior),Servicio de Lavado,Verano
3535,01/03/2019,Bebidas,94,Coca-cola,Lata 220ml,Bebestible,Verano
3536,01/03/2019,Accesorio auto,1545408573039,Vision Clara,Red summer 25ml,Accesorio Auto,Verano
3537,01/03/2019,Lavado Express,1544748766540,Interior y exterior,Vehículos pequeños,Servicio de Lavado,Verano
3538,01/03/2019,Lavado Express,147,Express,Medio con Lava chasis,Servicio de Lavado,Verano
3539,01/03/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3540,01/03/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3541,01/03/2019,Lavado Express,1544748946076,Lavado interior y exterior,Vehículo mediano,Servicio de Lavado,Verano
3542,01/03/2019,Lavado Express,1544795009149,Lavado,y aspirado,Servicio de Lavado,Verano
3543,01/03/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3544,01/03/2019,Café,41,Marley Coffe,Grande,Bebestible,Verano
3545,01/03/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3546,01/03/2019,Accesorio auto,1549036335883,EASY CLIP,OCEAN BREEZE,Accesorio Auto,Verano
3546,01/03/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3547,01/03/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3548,01/03/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3549,01/03/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3550,01/03/2019,Lavado Express,148,Express,Full,Servicio de Lavado,Verano
3551,01/03/2019,Abarrotes,1544982585343,Ramitas,Sabor queso 42g,Comestible,Verano
3551,01/03/2019,Café,40,Marley Coffe,Mediano,Bebestible,Verano
3551,01/03/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3552,01/03/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3552,01/03/2019,Bebidas,102,Aquarius,Manzana 500ml,Bebestible,Verano
3553,01/03/2019,Bebidas,1551115247925,Redbull,Normal 250ml,Bebestible,Verano
3553,01/03/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3554,01/03/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3555,01/03/2019,Lavado Express,147,Express,Medio con Lava chasis,Servicio de Lavado,Verano
3556,01/03/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3557,01/03/2019,Lavado Express,1544795009149,Lavado,y aspirado,Servicio de Lavado,Verano
3557,01/03/2019,Café,41,Marley Coffe,Grande,Bebestible,Verano
3558,01/03/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3559,01/03/2019,Lavado Express,147,Express,Medio con Lava chasis,Servicio de Lavado,Verano
3559,01/03/2019,Abarrotes,84,Lays,Tarro corte americano 40g,Comestible,Verano
3560,01/03/2019,Lavado Express,147,Express,Medio con Lava chasis,Servicio de Lavado,Verano
3560,01/03/2019,Café,39,Marley Coffe,Espresso,Bebestible,Verano
3561,01/03/2019,Lavado Express,147,Express,Medio con Lava chasis,Servicio de Lavado,Verano
3562,01/03/2019,Café,41,Marley Coffe,Grande,Bebestible,Verano
3563,01/03/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3564,01/03/2019,Lavado Express,1544748766540,Interior y exterior,Vehículos pequeños,Servicio de Lavado,Verano
3565,01/03/2019,Helados,140,Cremoso,Oreo,Comestible,Verano
3566,01/03/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3566,01/03/2019,Café,40,Marley Coffe,Mediano,Bebestible,Verano
3566,01/03/2019,Helados,139,Cremoso,Chocolate Almendra,Comestible,Verano
3567,02/03/2019,Lavado Express,148,Express,Full,Servicio de Lavado,Verano
3568,02/03/2019,Café,40,Marley Coffe,Mediano,Bebestible,Verano
3569,02/03/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3570,02/03/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3570,02/03/2019,Accesorio auto,1545837267389,Toalla,Para Manos,Accesorio Auto,Verano
3571,02/03/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3572,02/03/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3573,02/03/2019,Lavado Express,148,Express,Full,Servicio de Lavado,Verano
3574,02/03/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3575,02/03/2019,Abarrotes,60,Toddy block,101g,Comestible,Verano
3575,02/03/2019,Abarrotes,3,Capri,Sabor a Almendra 30g,Comestible,Verano
3576,02/03/2019,Lavado Express,147,Express,Medio con Lava chasis,Servicio de Lavado,Verano
3576,02/03/2019,Abarrotes,68,Wild Bar,Peanuts& chocolate,Comestible,Verano
3577,02/03/2019,Lavado Express,147,Express,Medio con Lava chasis,Servicio de Lavado,Verano
3577,02/03/2019,Abarrotes,88,Chicle Bigtime,Menta,Comestible,Verano
3578,02/03/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3579,02/03/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3579,02/03/2019,Café,39,Marley Coffe,Espresso,Bebestible,Verano
3580,02/03/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3580,02/03/2019,Abarrotes,1546179859241,Cereal Mix,Ciruela 115g,Comestible,Verano
3581,02/03/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3582,02/03/2019,Lavado Express,148,Express,Full,Servicio de Lavado,Verano
3583,02/03/2019,Lavado Express,1544748766540,Interior y exterior,Vehículos pequeños,Servicio de Lavado,Verano
3583,02/03/2019,Bebidas,107,Vital,Gasificada 600ml,Bebestible,Verano
3583,02/03/2019,Café,39,Marley Coffe,Espresso,Bebestible,Verano
3584,02/03/2019,Lavado Express,1544748946076,Lavado interior y exterior,Vehículo mediano,Servicio de Lavado,Verano
3585,02/03/2019,Lavado Express,1544748946076,Lavado interior y exterior,Vehículo mediano,Servicio de Lavado,Verano
3586,02/03/2019,Café,41,Marley Coffe,Grande,Bebestible,Verano
3587,02/03/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3588,02/03/2019,Lavado Express,149,Express,Sobre medida (Exterior),Servicio de Lavado,Verano
3588,02/03/2019,Abarrotes,3,Capri,Sabor a Almendra 30g,Comestible,Verano
3589,02/03/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3590,02/03/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3590,02/03/2019,Café,40,Marley Coffe,Mediano,Bebestible,Verano
3590,02/03/2019,Abarrotes,127,Twistos,Jamón Ibérico,Comestible,Verano
3591,02/03/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3592,02/03/2019,Lavado Express,148,Express,Full,Servicio de Lavado,Verano
3593,02/03/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3594,02/03/2019,Abarrotes,53,Barra chocolate,Sahne-nuss 14g,Comestible,Verano
3595,02/03/2019,Lavado Express,147,Express,Medio con Lava chasis,Servicio de Lavado,Verano
3596,02/03/2019,Lavado Express,147,Express,Medio con Lava chasis,Servicio de Lavado,Verano
3596,02/03/2019,Bebidas,111,Vitamin Water,Triple X,Bebestible,Verano
3596,02/03/2019,Bebidas,94,Coca-cola,Lata 220ml,Bebestible,Verano
3596,02/03/2019,Abarrotes,130,Mini,Toddy,Comestible,Verano
3597,02/03/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3597,02/03/2019,Café,40,Marley Coffe,Mediano,Bebestible,Verano
3598,02/03/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3599,02/03/2019,Lavado Express,1544748998523,Lavado interior y exterior,Vehículo sobre medida,Servicio de Lavado,Verano
3600,02/03/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3600,02/03/2019,Accesorio auto,1549036175814,EASY CLIP,VAINILLA,Accesorio Auto,Verano
3601,02/03/2019,Lavado Express,148,Express,Full,Servicio de Lavado,Verano
3602,02/03/2019,Lavado Express,146,Express,Medio,Servicio de Lavado,Verano
3603,02/03/2019,Café,40,Marley Coffe,Mediano,Bebestible,Verano
3603,02/03/2019,Lavado Express,1544795009149,Lavado,y aspirado,Servicio de Lavado,Verano
